occurrence_no,record_type,reid_no,flags,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,ref_author,ref_pubyr,reference_no,phylum,class,order,family,genus,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,environment,tectonic_setting,geology_comments,time_bins,time_contain,time_major,time_buffer,time_overlap,created,modified
405672,occ,,,39019,Dicerorhinus,genus,43199,Aquitanian,,23.03,20.44,Crusafont-Pairo and Golpe-Posse,1974,10430,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Dicerorhinus,-2.033333,42.666668,ES,Navarre,,based on political unit,minutes,local area,"Southwest of Estella, Spain",terrestrial indet.,,,Aquitanian,Aquitanian,Aquitanian,Aquitanian,Aquitanian,18/05/2004 15:40,18/05/2004 17:40
406513,occ,,,13489,Brachypotherium,genus,43194,Middle Miocene,Tortonian,15.98,7.246,Hussain and West,1979,10569,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Brachypotherium,71.655556,32.929169,PK,Minanwali,,stated in text,seconds,,Howard University-GSP Locality No. 18,fluvial indet.,,,Tortonian,-,Tortonian,"Serravallian, Tortonian","Langhian, Serravallian, Tortonian",21/05/2004 09:55,21/05/2004 11:55
406514,occ,,,13489,Gaindatherium browni,species,432593,Middle Miocene,Tortonian,15.98,7.246,Hussain and West,1979,10569,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Gaindatherium,71.655556,32.929169,PK,Minanwali,,stated in text,seconds,,Howard University-GSP Locality No. 18,fluvial indet.,,,Tortonian,-,Tortonian,"Serravallian, Tortonian","Langhian, Serravallian, Tortonian",21/05/2004 09:58,21/05/2004 11:58
406515,occ,,,13489,Chilotherium,genus,43196,Middle Miocene,Tortonian,15.98,7.246,Hussain and West,1979,10569,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Chilotherium,71.655556,32.929169,PK,Minanwali,,stated in text,seconds,,Howard University-GSP Locality No. 18,fluvial indet.,,,Tortonian,-,Tortonian,"Serravallian, Tortonian","Langhian, Serravallian, Tortonian",21/05/2004 09:58,21/05/2004 11:58
407557,occ,,,39209,Rhinoceros sivalensis,species,390268,Late Pliocene,,3.6,2.58,Badam,1977,10584,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Rhinoceros,80,29,IN,,,estimated from map,seconds,local area,Siwalik mountain range,terrestrial indet.,,,Piacenzian,Piacenzian,Piacenzian,Piacenzian,Piacenzian,23/05/2004 19:35,29/04/2024 10:55
407558,occ,,,39209,Rhinoceros palaeindicus,species,390267,Late Pliocene,,3.6,2.58,Badam,1977,10584,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Rhinoceros,80,29,IN,,,estimated from map,seconds,local area,Siwalik mountain range,terrestrial indet.,,,Piacenzian,Piacenzian,Piacenzian,Piacenzian,Piacenzian,23/05/2004 19:35,29/04/2024 10:55
407559,occ,,,39209,Chilotherium intermedium,species,433297,Late Pliocene,,3.6,2.58,Badam,1977,10584,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Chilotherium,80,29,IN,,,estimated from map,seconds,local area,Siwalik mountain range,terrestrial indet.,,,Piacenzian,Piacenzian,Piacenzian,Piacenzian,Piacenzian,23/05/2004 19:35,29/04/2024 10:55
408428,occ,,,39314,Rhinocerotidae,family,43187,Early Pleistocene,,2.58,0.774,Gulec et al.,1999,10617,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,,31.913889,38.279167,TR,,,based on nearby landmark,seconds,,"'nearly directly south and 5.5km distant from the eponymous village. The village is 17km north-northwest of Ilgin (1030m) (on which the co-ordinates are based), and Ilgin is 54km northwest of Konya town in southern Anatolia.'",lacustrine - large,,,Calabrian,-,Calabrian,"Gelasian, Calabrian","Gelasian, Calabrian",26/05/2004 07:30,26/05/2004 10:00
408505,occ,,,39321,Dicerorhinus,genus,43199,Early Pleistocene,,2.58,0.774,Gulec et al.,1999,10617,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Dicerorhinus,30.520555,39.776669,TR,,,based on nearby landmark,seconds,,A series of now disused quarries some 10-20kms west of Eskisehir town (on which the co-ordinates are based).,,,,Calabrian,-,Calabrian,"Gelasian, Calabrian","Gelasian, Calabrian",26/05/2004 08:47,26/05/2004 10:47
408559,occ,,,39322,Rhinocerotidae,family,43187,Pliocene,Pleistocene,5.333,0.0117,Gulec et al.,1999,10617,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,,35.463055,40.873333,TR,,,based on nearby landmark,seconds,,"Kamisli is 16km south of Merzifon (on which the co-ordinates are based), near the eponymous village.",,,,-,-,-,"Zanclean, Piacenzian, Gelasian, Calabrian, Chibanian","Zanclean, Piacenzian, Gelasian, Calabrian, Chibanian, Late Pleistocene",26/05/2004 09:02,26/05/2004 11:02
410362,occ,,,39622,Stephanorhinus,genus,43224,Pliocene,,5.333,2.58,Radulescu and Samson,2001,10720,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Stephanorhinus,27.916668,46.166668,RO,Moldova,,based on nearby landmark,minutes,,Approximately 20km south of the site of Malusteni (on which the co-ordinates are based). In the northeastern Dacic basin (southeastern Moldova). ,,,"In the Dacic Basin, 'a large sedimentary area connecting the central and eastern Paratethys; it is situated between the southern Carpathians in the north and the Balkans in the south.'",Zanclean,-,Zanclean,"Zanclean, Piacenzian","Zanclean, Piacenzian",01/06/2004 06:16,01/06/2004 08:16
410377,occ,10743,,39627,Stephanorhinus,genus,43224,Pliocene,,5.333,2.58,Radulescu and Samson,2001,10720,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Stephanorhinus,25.783333,45.849998,RO,,Sfanta Georghe Basin,based on nearby landmark,seconds,,"In the Sfanta Gheorghe Basin (co-ordinates based on the town of Sfanta Gheorghe), in the Brasov Depression.",,,,Zanclean,-,Zanclean,"Zanclean, Piacenzian","Zanclean, Piacenzian",18/06/2004 08:29,18/06/2004 10:29
410883,occ,11125,,39682,Stephanorhinus jeanvireti,species,423747,Pliocene,,5.333,2.58,Radulescu and Samson,2001,10720,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Stephanorhinus,23.15,44.733334,RO,,,based on nearby landmark,seconds,,"Co-ordinate based on the town of Corvigi, in the Dacic Basin.",,,,Zanclean,-,Zanclean,"Zanclean, Piacenzian","Zanclean, Piacenzian",22/07/2004 04:05,22/07/2004 06:05
410889,occ,,,39683,Stephanorhinus etruscus,species,54872,Pliocene,,5.333,2.58,Radulescu and Samson,2001,10720,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Stephanorhinus,23.083332,44.849998,RO,,,based on nearby landmark,seconds,,"Site is roughly 20km east of Lupoaia/VIII, Co-ordinates based on the town of Matasari, in the Dacic Basin, north of the city of Craiova.",,,,Zanclean,-,Zanclean,"Zanclean, Piacenzian","Zanclean, Piacenzian",03/06/2004 08:09,03/06/2004 10:09
411061,occ,,,39715,Rhinoceros,genus,43222,Miocene,,23.03,5.333,Petronijevic,1967,10749,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Rhinoceros,21.136667,43.957222,RS,Serbia,,estimated from map,seconds,,"Serbia, Lozovik, in the NW of Svetozarevo",fluvial-lacustrine indet.,,,-,-,-,-,"Aquitanian, Burdigalian, Langhian, Serravallian, Tortonian, Messinian",05/06/2004 07:19,05/06/2004 09:19
411693,occ,,,39810,Amynodontidae,family,43168,Middle Eocene,Late Eocene,47.8,33.9,Badamgarav and Reshetov,1976,10727,Chordata,Mammalia,Perissodactyla,Amynodontidae,,105,44,MN,,,based on political unit,degrees,basin,"Quarry is located in transaltaic Gobi, in the south-west region of the Bugintsav depression, near the mountain Khaichin-Ula.",terrestrial indet.,,,-,-,-,-,"Lutetian, Bartonian, Priabonian",07/06/2004 05:54,07/06/2004 07:54
